https://fbref.com/en/comps/1/stats/World-Cup-Stats
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
77,Telmo Arcanjo,MF,cv Cabo Verde,24,1.pt Vit. Guimarães,2001,2,1,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c692cef2
78,Álex Arce,FW,py Paraguay,30,1.ar Ind. Rivadavia,1995,2,0,53,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,10411db2
79,Carlens Arcus,MFDF,ht Haiti,29,1.fr Angers,1996,3,2,146,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5e837126
80,Max Arfsten,MF,us USA,25,1.us Columbus Crew,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,668f881e
81,Jhon Arias,MF,co Colombia,28,1.br Palmeiras,1997,5,5,377,4.2,1,0,1,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,Matches,86d96066
82,Santiago Arias,DF,co Colombia,34,1.ar Independiente,1992,1,1,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fdd60087
83,Marko Arnautović,FW,at Austria,37,1.rs Red Star,1989,4,1,144,1.6,2,0,2,1,1,1,1,0,1.25,0.00,1.25,0.62,0.62,Matches,00459419
84,Benjamin Asare,GK,gh Ghana,33,1.gh Accra Hearts of Oak,1992,3,2,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4bb65492
85,Emam Ashour,MF,eg Egypt,28,1.eg Al Ahly,1998,5,5,362,4.0,2,0,2,2,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches,31b7d437
86,Rustam Ashurmatov,DF,uz Uzbekistan,29,1.ir Esteghlal,1996,3,3,256,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a0ecd397
87,Lawrence Ati-Zigi,GK,gh Ghana,29,1.ch St. Gallen,1996,2,2,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a12402c3
88,Marwan Attia,MF,eg Egypt,27,1.eg Al Ahly,1998,5,4,434,4.8,0,1,1,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21,Matches,1ea3d7ec
89,Fredrik Aursnes,MFDF,no Norway,30,1.pt Benfica,1995,6,3,304,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f0677ed7
90,Gabriel Ávalos,FW,py Paraguay,35,1.ar Independiente,1990,4,2,141,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b6781b67
91,Yasin Ayari,MF,se Sweden,22,1.eng Brighton,2003,4,4,339,3.8,2,0,2,2,0,0,1,0,0.53,0.00,0.53,0.53,0.53,Matches,f173303a
92,Oğuz Aydın,DF,tr Türkiye,25,1.tr Fenerbahçe,2000,1,1,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a7b98226
93,Jordan Ayew,FW,gh Ghana,34,2.eng Leicester City,1991,4,4,300,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,da052c14
94,Kaan Ayhan,DFMF,tr Türkiye,31,1.tr Galatasaray,1994,1,0,3,0.0,1,0,1,1,0,0,0,0,30.00,0.00,30.00,30.00,30.00,Matches,2200181e
95,Neil El Aynaoui,MF,ma Morocco,24,1.it Roma,2001,6,6,562,6.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,17e1261b
96,Ali Azaizeh,MF,jo Jordan,22,1.sa Al-Shabab,2004,3,1,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3a46ac67
97,Juninho Bacuna,MF,cw Curaçao,28,1.nl Volendam,1997,3,3,254,2.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,aaf1bf05
98,Leandro Bacuna,MF,cw Curaçao,34,2.tr 76 Iğdır Belediyespor,1991,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9dc69d38
99,Álex Baena,MFFW,es Spain,24,1.es Atlético Madrid,2001,7,7,481,5.3,1,1,2,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,Matches,518f2234
100,Esmir Bajraktarevic,MF,ba Bosnia–Herz,21,1.nl PSV,2005,4,2,230,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dff24174
101,Cédric Bakambu,FW,cd Congo DR,35,1.es Real Betis,1991,3,3,190,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0af4dcf0
102,Fabián Balbuena,DF,py Paraguay,34,1.br Grêmio,1991,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3626f7d9
103,Folarin Balogun,FW,us USA,24,1.fr Monaco,2001,4,4,312,3.5,3,0,3,3,0,0,1,1,0.87,0.00,0.87,0.87,0.87,Matches,31822f8c
104,Simon Banza,FWMF,cd Congo DR,29,1.ae Al Jazira Club,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,be47b750
105,Yoel Bárcenas,MF,pa Panama,32,1.mx Mazatlán,1993,3,3,249,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b39849eb
106,Valentín Barco,DFMF,ar Argentina,21,1.fr Strasbourg,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b9f282ec
107,Bradley Barcola,MF,fr France,23,1.fr PSG,2002,8,4,384,4.3,3,1,4,3,0,0,1,0,0.70,0.23,0.94,0.70,0.94,Matches,a0d55a09
108,Abdülkerim Bardakcı,DF,tr Türkiye,31,1.tr Galatasaray,1994,3,3,265,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5d9cff53
109,Ivan Bašić,MF,ba Bosnia–Herz,24,1.kz FC Astana,2002,3,2,179,2.0,0,1,1,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,Matches,9b0a0d51
110,Ahmed Basil,GK,iq Iraq,29,1.iq Al-Shorta,1996,2,2,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3bf9e631
111,Martin Baturina,MFFW,hr Croatia,23,1.it Como,2003,4,4,321,3.6,1,0,1,1,0,0,0,0,0.28,0.00,0.28,0.28,0.28,Matches,d1eda5f0
112,Ibrahim Bayesh,MFFW,iq Iraq,26,1.ae Al Dhafra SCC,2000,3,3,235,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2f2003ba
113,Samed Baždar,FW,ba Bosnia–Herz,22,1.de Gladbach,2004,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e59c9d0d
114,Riechedly Bazoer,DF,cw Curaçao,29,1.tr Konyaspor,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,da59a197
115,Patrick Beach,GK,au Australia,22,1.au Melb City,2003,4,4,388,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3cc64624
116,Aziz Behich,MF,au Australia,35,1.au Melb City,1990,3,2,217,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b6867b96
117,Maximilian Beier,FWMF,de Germany,23,1.de Dortmund,2002,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5db45ee5
118,Alireza Beiranvand,GK,ir IR Iran,33,1.ir Tractor,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6ca0b04a
119,Zineddine Belaïd,DF,dz Algeria,27,1.dz JS Kabylie,1999,2,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b2562589
120,Rafik Belghali,DF,dz Algeria,24,1.it Hellas Verona,2002,4,4,331,3.7,1,0,1,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,Matches,0abcb968
121,Joe Bell,MF,nz New Zealand,27,1.no Viking,1999,3,3,243,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7825847e
122,Jean-Ricner Bellegarde,MF,ht Haiti,27,1.eng Wolves,1998,3,3,260,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,10f0fdd3
123,Jude Bellingham,MF,eng England,22,1.es Real Madrid,2003,8,7,614,6.8,7,1,8,7,0,0,1,0,1.03,0.15,1.17,1.03,1.17,Matches,57d88cf9
124,Mortadha Ben Ouanes,DFMF,tn Tunisia,31,1.tr Kasımpaşa,1994,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1798891a
