https://fbref.com/en/comps/1/shooting/World-Cup-Stats
,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
699,Joel Ordóñez,DF,ec Ecuador,22,2004,2.5,0,2,0,0.0,0.80,0.00,0.00,,0,0,Matches,2990a15c
700,Jonathan Osorio,MF,ca Canada,34,1992,0.1,0,1,0,0.0,18.00,0.00,0.00,,0,0,Matches,70106ff6
701,Nicolás Otamendi,DF,ar Argentina,38,1988,2.7,0,1,0,0.0,0.36,0.00,0.00,,0,0,Matches,0d267745
702,Zakaria El Ouahdi,DFMF,ma Morocco,24,2001,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,a3d79d3c
703,Ayoub Al-Oui,DF,qa Qatar,21,2005,1.7,0,0,0,,0.00,0.00,,,0,0,Matches,010e5bae
704,Azzedine Ounahi,MF,ma Morocco,26,2000,4.8,2,5,3,60.0,1.03,0.62,0.40,0.67,0,0,Matches,83299cc0
705,Mohammed Al-Owais,GK,sa Saudi Arabia,34,1991,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,f2c060c6
706,Elisha Owusu,MF,gh Ghana,28,1997,1.7,0,0,0,,0.00,0.00,,,0,0,Matches,e2781082
707,Mikel Oyarzabal,FW,es Spain,29,1997,6.7,5,23,12,52.2,3.44,1.80,0.22,0.42,1,1,Matches,8c3c640c
708,Salih Özcan,MF,tr Türkiye,28,1998,1.1,0,0,0,,0.00,0.00,,,0,0,Matches,15413fa5
709,Willian Pacho,DF,ec Ecuador,24,2001,4.0,0,1,1,100.0,0.25,0.25,0.00,0.00,0,0,Matches,ecbe2839
710,Kendry Páez,MF,ec Ecuador,19,2007,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,f3bb9f59
711,Exequiel Palacios,DF,ar Argentina,27,1998,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,e82adcab
712,Lucas Paquetá,MF,br Brazil,28,1997,2.6,0,5,1,20.0,1.93,0.39,0.00,0.00,0,0,Matches,9b6f7fd5
713,Leandro Paredes,MF,ar Argentina,31,1994,5.3,0,4,1,25.0,0.76,0.19,0.00,0.00,0,0,Matches,dff153a4
714,Thomas Partey,MF,gh Ghana,33,1993,3.0,0,2,0,0.0,0.67,0.00,0.00,,0,0,Matches,529f49ab
715,Marco Pašalić,MF,hr Croatia,25,2000,1.1,0,3,2,66.7,2.73,1.82,0.00,0.00,0,0,Matches,1866b0f1
716,Mario Pašalić,MF,hr Croatia,31,1995,1.4,0,4,1,25.0,2.93,0.73,0.00,0.00,0,0,Matches,e599253a
717,Nathan Patterson,DF,sct Scotland,24,2001,2.1,0,0,0,,0.00,0.00,,,0,0,Matches,230f0471
718,João Paulo Fernandes,DF,cv Cabo Verde,28,1998,1.2,0,2,0,0.0,1.71,0.00,0.00,,0,0,Matches,afcac9da
719,Aleksandar Pavlovic,MF,de Germany,22,2004,3.0,0,4,1,25.0,1.32,0.33,0.00,0.00,0,0,Matches,2658c82f
720,Tim Payne,DF,nz New Zealand,32,1994,2.5,0,1,0,0.0,0.40,0.00,0.00,,0,0,Matches,4e86877c
721,Nicolás Paz,MF,ar Argentina,21,2004,0.8,0,1,0,0.0,1.27,0.00,0.00,,0,0,Matches,01bb93d5
722,Marcus Pedersen,DF,no Norway,25,2000,2.6,1,1,1,100.0,0.38,0.38,1.00,1.00,0,0,Matches,596cc50e
723,Pedri,MF,es Spain,23,2002,5.5,0,5,2,40.0,0.90,0.36,0.00,0.00,0,0,Matches,0d9b2d31
724,Nicolas Pépé,FW,ci Côte d'Ivoire,31,1995,2.6,2,6,3,50.0,2.31,1.15,0.33,0.67,0,0,Matches,57e3f0c7
725,Ricardo Pepi,FW,us USA,23,2003,2.3,0,5,0,0.0,2.21,0.00,0.00,,0,0,Matches,a2b1ed42
726,Kojo Peprah Oppong,DF,gh Ghana,22,2004,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,37a6fdb3
727,Ivan Perišić,MFDF,hr Croatia,37,1989,4.0,1,2,2,100.0,0.50,0.50,0.50,0.50,0,0,Matches,6fe90922
728,Jens Petter Hauge,DFFW,no Norway,26,1999,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,12c35abe
729,Charles Pickel,DFMF,cd Congo DR,29,1997,0.4,0,1,0,0.0,2.57,0.00,0.00,,0,0,Matches,f71ad8cb
730,Jordan Pickford,GK,eng England,32,1994,7.3,0,0,0,,0.00,0.00,,,0,0,Matches,4806ec67
731,Pico,DF,cv Cabo Verde,33,1992,4.3,0,2,0,0.0,0.46,0.00,0.00,,0,0,Matches,faef0f92
732,Frantzdy Pierrot,FW,ht Haiti,31,1995,1.6,0,3,1,33.3,1.89,0.63,0.00,0.00,0,0,Matches,307877be
733,Kevin Pina,MF,cv Cabo Verde,29,1997,3.9,1,5,1,20.0,1.29,0.26,0.20,1.00,0,0,Matches,296026ae
734,Wagner Pina,DF,cv Cabo Verde,23,2002,1.0,0,1,0,0.0,1.01,0.00,0.00,,0,0,Matches,9bf22b95
735,Orbelín Pineda,FWMF,mx Mexico,30,1996,0.3,0,1,0,0.0,2.90,0.00,0.00,,0,0,Matches,411fabd7
736,Yéremy Pino,FWMF,es Spain,23,2002,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,540ec57b
737,Isidro Pitta,FW,py Paraguay,26,1999,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,e9fc7295
738,Johny Placide,GK,ht Haiti,38,1988,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,f1666a9d
739,Gonzalo Plata,FW,ec Ecuador,25,2000,4.0,1,8,5,62.5,2.00,1.25,0.13,0.20,0,0,Matches,54bcdeb0
740,Marin Pongračić,DF,hr Croatia,28,1997,3.0,0,1,0,0.0,0.33,0.00,0.00,,0,0,Matches,2a6cd437
741,Jackson Porozo,DF,ec Ecuador,25,2000,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,7d704e92
742,Pedro Porro,DF,es Spain,26,1999,6.3,2,7,3,42.9,1.12,0.48,0.29,0.67,0,0,Matches,27d0a506
743,Stefan Posch,DF,at Austria,29,1997,3.7,0,3,0,0.0,0.82,0.00,0.00,,0,0,Matches,7f609bfc
744,Alexander Prass,DFMF,at Austria,25,2001,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,6637e6a7
745,Ángelo Preciado,DFMF,ec Ecuador,28,1998,1.2,0,0,0,,0.00,0.00,,,0,0,Matches,eadc8e4f
746,Ruben Providence,MF,ht Haiti,24,2001,2.4,0,4,1,25.0,1.64,0.41,0.00,0.00,0,0,Matches,26bab383
747,Lukáš Provod,FW,cz Czechia,29,1996,1.4,0,1,0,0.0,0.74,0.00,0.00,,0,0,Matches,8f21b7bd
748,Marc Pubill,DF,es Spain,22,2003,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,365113c0
749,Gustavo Puerta,MF,co Colombia,22,2003,5.2,0,14,5,35.7,2.69,0.96,0.00,0.00,0,0,Matches,2c08cab0
750,Christian Pulisic,MF,us USA,27,1998,2.5,0,4,2,50.0,1.61,0.81,0.00,0.00,0,0,Matches,1bf33a9a
751,Ahmed Qasem,MFFW,iq Iraq,22,2003,1.4,0,0,0,,0.00,0.00,,,0,0,Matches,27219ecb
752,Jarell Quansah,DF,eng England,23,2003,2.2,0,0,0,,0.00,0.00,,,0,0,Matches,4125cb98
753,Julián Quiñones,FWMF,mx Mexico,29,1997,4.6,4,14,6,42.9,3.07,1.32,0.29,0.67,0,0,Matches,5535c728
754,Alberto Quintero,FWMF,pa Panama,38,1987,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,5854ae43
755,Juan Quintero,FWMF,co Colombia,33,1993,1.3,0,4,0,0.0,2.98,0.00,0.00,,0,0,Matches,540d0b37
756,Ramy Rabia,DF,eg Egypt,33,1993,4.1,0,1,1,100.0,0.24,0.24,0.00,0.00,0,0,Matches,e32afa36
757,Adrien Rabiot,MF,fr France,31,1995,6.5,0,9,1,11.1,1.38,0.15,0.00,0.00,0,0,Matches,8794e251
758,Stjepan Radeljić,DF,ba Bosnia–Herz,28,1997,2.0,0,1,0,0.0,0.50,0.00,0.00,,0,0,Matches,30e03a25
759,Soufiane Rahimi,FW,ma Morocco,30,1996,1.8,2,6,4,66.7,3.31,2.21,0.33,0.50,0,0,Matches,f126a259
760,Abdul Rahman Baba,DFMF,gh Ghana,31,1994,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,e4086af3
761,Anthony Ralston,DF,sct Scotland,27,1998,0.1,0,1,1,100.0,8.18,8.18,0.00,0.00,0,0,Matches,56208b05
762,Gonçalo Ramos,FW,pt Portugal,24,2001,0.4,1,2,1,50.0,5.00,2.50,0.50,1.00,0,0,Matches,f63cda26
763,Jiovany Ramos,DF,pa Panama,29,1997,1.8,0,2,0,0.0,1.08,0.00,0.00,,0,0,Matches,30cda59f
764,Jesse Randall,MF,nz New Zealand,23,2002,0.7,0,1,0,0.0,1.48,0.00,0.00,,0,0,Matches,513ec88e
765,Raúl Rangel,GK,mx Mexico,26,2000,4.9,0,0,0,,0.00,0.00,,,0,0,Matches,15f733fb
766,Raphinha,MFFW,br Brazil,29,1996,1.4,0,3,2,66.7,2.09,1.40,0.00,0.00,0,0,Matches,3423f250
767,Nizar Al Rashdan,MF,jo Jordan,27,1999,2.8,1,2,1,50.0,0.71,0.35,0.50,1.00,0,0,Matches,feaa0ffd
768,Marcus Rashford,MF,eng England,28,1997,2.5,1,12,5,41.7,4.84,2.02,0.08,0.20,0,0,Matches,a1d5bd30
769,Nicolas Raskin,MF,be Belgium,25,2001,3.8,0,2,1,50.0,0.53,0.26,0.00,0.00,0,0,Matches,dba1f190
770,David Raum,DF,de Germany,28,1998,1.2,0,1,1,100.0,0.83,0.83,0.00,0.00,0,0,Matches,7d450ed3
771,Noor Al Rawabdeh,MF,jo Jordan,29,1997,3.0,0,1,0,0.0,0.33,0.00,0.00,,0,0,Matches,3bb06c86
772,Rayan,FWMF,br Brazil,19,2006,3.2,0,5,2,40.0,1.56,0.62,0.00,0.00,0,0,Matches,288647fc
773,Iqraam Rayners,FW,za South Africa,30,1995,1.8,0,1,0,0.0,0.56,0.00,0.00,,0,0,Matches,190b0d5e
774,Tim Ream,DF,us USA,38,1987,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,28b40c9c
775,Tijjani Reijnders,MF,nl Netherlands,27,1998,2.2,0,4,2,50.0,1.81,0.90,0.00,0.00,0,0,Matches,afb61630
776,Omar Rekik,DF,tn Tunisia,24,2001,2.0,1,1,1,100.0,0.50,0.50,1.00,1.00,0,0,Matches,e69e0f7b
777,Israel Reyes,DF,mx Mexico,26,2000,2.2,0,2,0,0.0,0.89,0.00,0.00,,0,0,Matches,0db8bbc4
778,Gio Reyna,MF,us USA,23,2002,1.5,1,2,1,50.0,1.37,0.69,0.50,1.00,0,0,Matches,7fa4e703
779,Ramin Rezaeian,DFMF,ir IR Iran,36,1990,3.0,2,4,2,50.0,1.33,0.67,0.50,1.00,0,0,Matches,c0ae3446
780,Chadi Riad,DF,ma Morocco,22,2003,3.8,0,1,0,0.0,0.26,0.00,0.00,,0,0,Matches,b3b9b8b8
781,Declan Rice,MF,eng England,27,1999,6.2,1,6,3,50.0,0.97,0.48,0.17,0.33,0,0,Matches,1c7012b8
782,Chris Richards,DF,us USA,26,2000,4.0,0,1,0,0.0,0.25,0.00,0.00,,0,0,Matches,0a3d6d2b
783,Fabian Rieder,MFFW,ch Switzerland,24,2002,3.4,0,7,2,28.6,2.09,0.60,0.00,0.00,0,0,Matches,c2bd8585
784,Richard Ríos,MF,co Colombia,26,2000,1.6,0,5,1,20.0,3.21,0.64,0.00,0.00,0,0,Matches,72da065d
785,Ró-Ró,DF,qa Qatar,35,1990,3.0,0,3,1,33.3,1.00,0.33,0.00,0.00,0,0,Matches,8735fe66
786,Andy Robertson,DF,sct Scotland,32,1994,2.5,0,0,0,,0.00,0.00,,,0,0,Matches,2e4f5f03
787,Antonee Robinson,DFMF,us USA,28,1997,3.9,0,0,0,,0.00,0.00,,,0,0,Matches,289601e6
788,Miles Robinson,DF,us USA,29,1997,1.0,0,1,0,0.0,1.00,0.00,0.00,,0,0,Matches,782a95d9
789,Sergio Rochet,GK,uy Uruguay,33,1993,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,81b99b9e
790,Rodri,MF,es Spain,29,1996,8.0,0,7,0,0.0,0.87,0.00,0.00,,0,0,Matches,6434f10d
791,Garry Rodrigues,MF,cv Cabo Verde,35,1990,0.8,0,1,0,0.0,1.18,0.00,0.00,,0,0,Matches,149895bf
792,Brian Rodríguez,FWMF,uy Uruguay,26,2000,0.5,0,3,1,33.3,6.59,2.20,0.00,0.00,0,0,Matches,c86041d7
793,James Rodríguez,FWMF,co Colombia,34,1991,3.5,0,6,3,50.0,1.73,0.86,0.00,0.00,0,0,Matches,715bf047
794,Kevin Rodríguez,FW,ec Ecuador,26,2000,1.3,0,6,1,16.7,4.58,0.76,0.00,0.00,0,0,Matches,189fb038
795,Ricardo Rodríguez,DF,ch Switzerland,33,1992,5.7,0,1,0,0.0,0.17,0.00,0.00,,0,0,Matches,7f78ad23
796,Tomás Rodríguez,FW,pa Panama,27,1999,0.5,0,1,1,100.0,1.96,1.96,0.00,0.00,0,0,Matches,59f97bc8
797,Godfried Roemeratoe,MF,cw Curaçao,26,1999,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,a646b710
798,Morgan Rogers,MF,eng England,23,2002,3.8,0,3,1,33.3,0.80,0.27,0.00,0.00,0,0,Matches,2e5915f1
799,Cristian Romero,DF,ar Argentina,28,1998,6.8,1,3,1,33.3,0.44,0.15,0.33,1.00,0,0,Matches,a3d94a58
800,Luis Romo,MF,mx Mexico,31,1995,2.9,1,3,1,33.3,1.02,0.34,0.33,1.00,0,0,Matches,e590bb10
801,Cristiano Ronaldo,FW,pt Portugal,41,1985,4.9,3,18,9,50.0,3.68,1.84,0.17,0.33,1,1,Matches,dea698d9
802,Eloy Room,GK,cw Curaçao,37,1989,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,6b33d86b
803,Marten de Roon,DFMF,nl Netherlands,35,1991,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,2a1beb34
804,Saed Al-Rosan,DF,jo Jordan,29,1997,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,f3115445
805,Antonio Rüdiger,DF,de Germany,33,1993,2.9,0,1,0,0.0,0.34,0.00,0.00,,0,0,Matches,18b896d6
806,Fabián Ruiz Peña,MF,es Spain,30,1996,3.6,1,8,2,25.0,2.24,0.56,0.13,0.50,0,0,Matches,c0c7ff58
807,Mathew Ryan,GK,au Australia,34,1992,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,4535e4bb
808,Julian Ryerson,DF,no Norway,28,1997,2.5,0,0,0,,0.00,0.00,,,0,0,Matches,009a4f60
809,Elias Saad,MFFW,tn Tunisia,26,1999,1.3,0,1,0,0.0,0.78,0.00,0.00,,0,0,Matches,78a2284f
810,Marwane Saâdane,DFMF,ma Morocco,34,1992,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,14f47102
811,Mustafa Saadoon,DF,iq Iraq,25,2001,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,928dc5c9
812,Mahmoud Saber,MF,eg Egypt,24,2001,0.5,1,3,1,33.3,5.87,1.96,0.33,1.00,0,0,Matches,632c42f5
813,Marcel Sabitzer,MF,at Austria,32,1994,4.0,1,5,2,40.0,1.25,0.50,0.20,0.50,0,0,Matches,e280527c
814,Noah Sadiki,MF,cd Congo DR,21,2004,2.9,0,0,0,,0.00,0.00,,,0,0,Matches,645481cc
815,Michal Sadílek,MF,cz Czechia,27,1999,2.0,1,7,3,42.9,3.44,1.48,0.14,0.33,0,0,Matches,7c9fa389
816,Alexis Saelemaekers,MF,be Belgium,26,1999,0.9,1,4,1,25.0,4.34,1.08,0.25,1.00,0,0,Matches,ee251371
817,Ismael Saibari,FW,ma Morocco,25,2001,4.2,3,10,3,30.0,2.36,0.71,0.30,1.00,0,0,Matches,3ec9f005
818,Bukayo Saka,MF,eng England,24,2001,4.0,3,13,7,53.8,3.27,1.76,0.23,0.43,1,1,Matches,bc7dc64d
819,Mohamed Salah,FWMF,eg Egypt,33,1992,4.7,1,9,4,44.4,1.91,0.85,0.11,0.25,0,0,Matches,e342ad68
820,Anass Salah-Eddine,DF,ma Morocco,24,2002,2.4,0,1,0,0.0,0.42,0.00,0.00,,0,0,Matches,0d274394
821,Nathan Saliba,MF,ca Canada,22,2004,2.0,1,3,1,33.3,1.48,0.49,0.33,1.00,0,0,Matches,44cfc681
822,William Saliba,DF,fr France,25,2001,5.3,0,1,0,0.0,0.19,0.00,0.00,,0,0,Matches,972aeb2a
823,Shurandy Sambo,DF,cw Curaçao,24,2001,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,4b1d5a70
824,Antonio Sanabria,FW,py Paraguay,30,1996,0.9,0,0,0,,0.00,0.00,,,0,0,Matches,0a447501
825,Davinson Sánchez,DF,co Colombia,30,1996,5.3,0,6,2,33.3,1.13,0.37,0.00,0.00,0,0,Matches,da7b447d
826,Jorge Sánchez,DF,mx Mexico,28,1997,3.9,0,1,1,100.0,0.26,0.26,0.00,0.00,0,0,Matches,c8d1c3a5
827,Alex Sandro,DFMF,br Brazil,35,1991,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,0d82903c
828,Leroy Sané,MF,de Germany,30,1996,3.6,1,6,2,33.3,1.66,0.55,0.17,0.50,0,0,Matches,2b114be3
829,Ibrahim Sangaré,MF,ci Côte d'Ivoire,28,1997,3.0,0,1,0,0.0,0.34,0.00,0.00,,0,0,Matches,bced0375
830,Kaishū Sano,MF,jp Japan,25,2000,3.0,1,1,1,100.0,0.33,0.33,1.00,1.00,0,0,Matches,7a7a6361
831,Danilo Santos,MF,br Brazil,25,2001,0.5,0,2,1,50.0,3.91,1.96,0.00,0.00,0,0,Matches,a816dbfb
832,Douglas Santos,DF,br Brazil,32,1994,4.9,0,2,0,0.0,0.41,0.00,0.00,,0,0,Matches,c50e5bba
833,Bara Sapoko Ndiaye,MF,sn Senegal,18,2007,0.3,0,1,1,100.0,3.46,3.46,0.00,0.00,0,0,Matches,fa080d50
834,Ismaila Sarr,MFFW,sn Senegal,28,1998,4.0,4,17,6,35.3,4.20,1.48,0.24,0.67,0,0,Matches,bfdb33aa
835,Farrukh Sayfiev,DFMF,uz Uzbekistan,35,1991,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,bad66fb5
836,Amine Sbai,FWMF,ma Morocco,25,2000,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,bafbe06a
837,Joe Scally,DF,us USA,23,2002,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,236f02cd
838,Patrik Schick,FW,cz Czechia,30,1996,2.0,0,2,1,50.0,1.00,0.50,0.00,0.00,0,0,Matches,5d4f7d61
839,Andreas Schjelderup,FW,no Norway,22,2004,2.8,1,3,2,66.7,1.07,0.71,0.33,0.50,0,0,Matches,a427724f
840,Alexander Schlager,GK,at Austria,30,1996,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,6fe5c35b
841,Xaver Schlager,MF,at Austria,28,1997,2.6,0,1,0,0.0,0.38,0.00,0.00,,0,0,Matches,8f056768
842,Nico Schlotterbeck,DF,de Germany,26,1999,1.5,1,2,2,100.0,1.33,1.33,0.50,0.50,0,0,Matches,34e12499
843,Romano Schmid,MFFW,at Austria,26,2000,2.9,1,2,1,50.0,0.68,0.34,0.50,1.00,0,0,Matches,220ace7e
844,Kamogelo Sebelebele,DFMF,za South Africa,23,2002,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,cc014f7d
845,Abdoulaye Seck,DF,sn Senegal,34,1992,0.6,0,2,0,0.0,3.16,0.00,0.00,,0,0,Matches,f07a0fe5
846,Alidu Seidu,DF,gh Ghana,26,2000,0.9,0,0,0,,0.00,0.00,,,0,0,Matches,cea59f02
847,Nicolas Seiwald,MF,at Austria,25,2001,3.5,0,3,0,0.0,0.86,0.00,0.00,,0,0,Matches,28c6e925
848,Ayumu Seko,DF,jp Japan,26,2000,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,5c6a4059
849,Egil Selvik,GK,no Norway,28,1997,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,05d89c1c
850,Ken Sema,FWMF,se Sweden,32,1993,0.2,0,1,0,0.0,5.63,0.00,0.00,,0,0,Matches,1770bd68
851,Nélson Semedo,DFMF,pt Portugal,32,1993,1.4,0,0,0,,0.00,0.00,,,0,0,Matches,d04b94db
852,Willy Semedo,FW,cv Cabo Verde,32,1994,1.5,0,3,0,0.0,2.06,0.00,0.00,,0,0,Matches,d1edc98f
853,Antoine Semenyo,MFFW,gh Ghana,26,2000,4.0,0,6,0,0.0,1.50,0.00,0.00,,0,0,Matches,efd2ec23
854,Marvin Senaya,DF,gh Ghana,25,2001,3.1,0,2,0,0.0,0.65,0.00,0.00,,0,0,Matches,1d383c10
855,Marcos Senesi,DF,ar Argentina,29,1997,1.2,0,1,0,0.0,0.83,0.00,0.00,,0,0,Matches,35141f4c
856,Igor Sergeev,FW,uz Uzbekistan,33,1993,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,8df41977
857,Jean Seri,MF,ci Côte d'Ivoire,34,1991,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,10efd0e1
858,Kim Seung-gyu,GK,kr Korea Republic,35,1990,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,eabaafa6
859,Paik Seung-ho,MF,kr Korea Republic,29,1997,2.3,0,0,0,,0.00,0.00,,,0,0,Matches,1e1bea09
860,Joaquin Seys,DF,be Belgium,21,2005,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,0beabf0a
861,Jacob Shaffelburg,MF,ca Canada,26,1999,1.0,0,3,0,0.0,2.93,0.00,0.00,,0,0,Matches,339a2561
862,Mohammed Abu Al-Shamat,MF,sa Saudi Arabia,23,2002,1.5,0,1,1,100.0,0.66,0.66,0.00,0.00,0,0,Matches,dd65e243
863,Lawrence Shankland,FW,sct Scotland,30,1995,1.9,0,4,0,0.0,2.11,0.00,0.00,,0,0,Matches,63b1a176
864,Sharara,FW,jo Jordan,28,1997,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,67e2aed8
865,Aimar Sher,MF,iq Iraq,23,2002,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,ef301f96
866,Kento Shiogai,FW,jp Japan,21,2005,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,6bc2fef7
867,Mostafa Shobeir,GK,eg Egypt,26,2000,5.3,0,0,0,,0.00,0.00,,,0,0,Matches,0cb1d2ba
868,Eldor Shomurodov,FW,uz Uzbekistan,30,1995,3.0,1,4,2,50.0,1.34,0.67,0.25,0.50,0,0,Matches,57469b2d
869,Otabek Shukurov,MF,uz Uzbekistan,29,1996,2.6,0,2,0,0.0,0.76,0.00,0.00,,0,0,Matches,62032a56
870,Nkosinathi Sibisi,DF,za South Africa,30,1995,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,932f8e2b
871,Kwasi Sibo,MF,gh Ghana,27,1998,2.8,0,0,0,,0.00,0.00,,,0,0,Matches,be834ad7
872,Niko Sigur,MF,ca Canada,22,2003,1.4,0,1,0,0.0,0.71,0.00,0.00,,0,0,Matches,5c56986b
873,Bernardo Silva,MF,pt Portugal,31,1994,1.1,0,1,0,0.0,0.93,0.00,0.00,,0,0,Matches,3eb22ec9
874,Éderson Silva,MF,br Brazil,26,1999,0.2,0,2,0,0.0,8.18,0.00,0.00,,0,0,Matches,a9202def
875,Giuliano Simeone,FW,ar Argentina,23,2002,2.1,0,1,0,0.0,0.47,0.00,0.00,,0,0,Matches,a6536561
876,Dominique Simon,MF,ht Haiti,25,2000,0.6,0,1,1,100.0,1.61,1.61,0.00,0.00,0,0,Matches,ffd8e8c5
877,Unai Simón,GK,es Spain,29,1997,8.3,0,0,0,,0.00,0.00,,,0,0,Matches,5dcf3e90
878,Sarpreet Singh,MF,nz New Zealand,27,1999,2.3,0,4,2,50.0,1.72,0.86,0.00,0.00,0,0,Matches,4ba886c6
879,Wilfried Singo,DF,ci Côte d'Ivoire,25,2000,1.9,0,2,0,0.0,1.05,0.00,0.00,,0,0,Matches,8b609c34
880,Sphephelo Sithole,MF,za South Africa,27,1999,2.5,0,0,0,,0.00,0.00,,,0,0,Matches,33bcd4b3
881,Ellyes Skhiri,MFDF,tn Tunisia,31,1995,2.8,0,0,0,,0.00,0.00,,,0,0,Matches,c2211709
882,Alexandr Sojka,MFDF,cz Czechia,23,2003,1.6,0,0,0,,0.00,0.00,,,0,0,Matches,765b7bfc
883,Ramón Sosa,FWMF,py Paraguay,26,1999,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,2d3417a1
884,Tomáš Souček,MF,cz Czechia,31,1995,1.5,0,1,0,0.0,0.66,0.00,0.00,,0,0,Matches,6613c819
885,Harry Souttar,DF,au Australia,27,1998,4.3,0,1,1,100.0,0.23,0.23,0.00,0.00,0,0,Matches,0a6cb1b1
886,Djibril Sow,MF,ch Switzerland,29,1997,2.8,0,2,1,50.0,0.71,0.36,0.00,0.00,0,0,Matches,4c6facae
887,Çağlar Söyüncü,DF,tr Türkiye,30,1996,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,21166ff4
888,Djed Spence,DF,eng England,25,2000,4.5,0,2,2,100.0,0.45,0.45,0.00,0.00,0,0,Matches,9bc9a519
889,Marko Stamenic,MF,nz New Zealand,24,2002,3.0,0,3,0,0.0,1.00,0.00,0.00,,0,0,Matches,690d1049
890,Josip Stanišić,DFMF,hr Croatia,26,2000,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,7ed08d5c
891,Carl Starfelt,DF,se Sweden,31,1995,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,5cfec13d
892,Ross Stewart,FW,sct Scotland,29,1996,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,18986367
893,Angelo Stiller,MF,de Germany,25,2001,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,3b1ed320
894,John Stones,DF,eng England,32,1994,3.7,0,1,0,0.0,0.27,0.00,0.00,,0,0,Matches,5eecec3d
895,Jørgen Strand Larsen,FW,no Norway,26,2000,1.2,0,2,1,50.0,1.71,0.86,0.00,0.00,0,1,Matches,f553b2b3
896,Elliot Stroud,MF,se Sweden,23,2002,1.8,0,1,0,0.0,0.54,0.00,0.00,,0,0,Matches,ff11bdec
897,Luis Suárez,FW,co Colombia,28,1997,3.7,0,9,0,0.0,2.45,0.00,0.00,,0,0,Matches,eeba07f8
898,Luka Sučić,FWMF,hr Croatia,23,2002,0.2,0,1,0,0.0,4.74,0.00,0.00,,0,0,Matches,1e1378e1
899,Petar Sučić,MFFW,hr Croatia,22,2003,3.2,1,3,2,66.7,0.93,0.62,0.33,0.50,0,0,Matches,23fb46ea
900,Yukinari Sugawara,MF,jp Japan,25,2000,1.6,0,2,2,100.0,1.22,1.22,0.00,0.00,0,0,Matches,580bcd18
901,Rebin Sulaka,DF,iq Iraq,34,1992,0.5,0,1,0,0.0,2.09,0.00,0.00,,0,0,Matches,928bec06
902,Pavel Šulc,FW,cz Czechia,25,2000,2.1,0,2,0,0.0,0.95,0.00,0.00,,0,0,Matches,e9b893af
903,Kamaldeen Sulemana,MFFW,gh Ghana,24,2002,1.4,0,1,0,0.0,0.71,0.00,0.00,,0,0,Matches,a62f8bf1
904,Crysencio Summerville,FW,nl Netherlands,24,2001,2.8,2,2,2,100.0,0.71,0.71,1.00,1.00,0,0,Matches,df04eb4b
