https://fbref.com/en/comps/1/shooting/World-Cup-Stats
,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
261,Ousmane Diomande,DF,ci Côte d'Ivoire,22,2003,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,394be156
262,Yan Diomandé,MFFW,ci Côte d'Ivoire,19,2006,3.7,0,4,0,0.0,1.09,0.00,0.00,,0,0,Matches,919f5f54
263,Issa Diop,DF,ma Morocco,29,1997,5.3,1,1,1,100.0,0.19,0.19,1.00,1.00,0,0,Matches,a712ca2b
264,El Hadji Malick Diouf,DF,sn Senegal,21,2004,1.9,0,0,0,,0.00,0.00,,,0,0,Matches,bd5eb2e5
265,Ritsu Doan,MF,jp Japan,27,1998,3.1,0,1,0,0.0,0.32,0.00,0.00,,0,0,Matches,d01bbb6f
266,Jeremy Doku,MF,be Belgium,24,2002,3.4,0,3,1,33.3,0.87,0.29,0.00,0.00,0,0,Matches,fffea3e5
267,Merchas Doski,DF,iq Iraq,26,1999,3.0,0,1,0,0.0,0.33,0.00,0.00,,0,0,Matches,fdf4cfe5
268,David Douděra,MF,cz Czechia,28,1998,1.0,0,4,0,0.0,4.00,0.00,0.00,,0,0,Matches,e95b4604
269,Désiré Doué,MF,fr France,21,2005,4.4,1,13,8,61.5,2.93,1.80,0.08,0.13,0,0,Matches,9e7483ff
270,Guéla Doué,DF,ci Côte d'Ivoire,23,2002,3.1,0,1,0,0.0,0.32,0.00,0.00,,0,0,Matches,b4ef3fb5
271,Deroy Duarte,MF,cv Cabo Verde,26,1999,2.9,1,3,2,66.7,1.02,0.68,0.33,0.50,0,0,Matches,6af8fc5b
272,Laros Duarte,MF,cv Cabo Verde,29,1997,1.8,0,3,3,100.0,1.63,1.63,0.00,0.00,0,0,Matches,4af3d3c8
273,Denzel Dumfries,DFMF,nl Netherlands,30,1996,4.3,0,5,2,40.0,1.15,0.46,0.00,0.00,0,0,Matches,481c9ece
274,Jean-Kevin Duverne,DF,ht Haiti,28,1997,1.9,0,1,0,0.0,0.53,0.00,0.00,,0,0,Matches,0cbc8baa
275,Lyndon Dykes,FWMF,sct Scotland,30,1995,0.4,0,1,0,0.0,2.50,0.00,0.00,,0,0,Matches,cd92357a
276,Edin Džeko,FW,ba Bosnia–Herz,40,1986,2.0,0,3,0,0.0,1.53,0.00,0.00,,0,0,Matches,3bb7f478
277,Roshon van Eijma,DF,cw Curaçao,28,1998,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,130368de
278,Anthony Elanga,MFFW,se Sweden,24,2002,2.4,2,3,3,100.0,1.24,1.24,0.67,0.67,0,0,Matches,2fba6108
279,Meschak Elia,FWMF,cd Congo DR,28,1997,0.5,0,2,1,50.0,3.91,1.96,0.00,0.00,0,0,Matches,5d51b074
280,Callan Elliot,DF,nz New Zealand,26,1999,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,9d6968a3
281,Eren Elmalı,DF,tr Türkiye,25,2000,1.2,0,0,0,,0.00,0.00,,,0,0,Matches,8eeb8ba4
282,Nico Elvedi,DF,ch Switzerland,29,1996,6.7,0,3,0,0.0,0.45,0.00,0.00,,0,0,Matches,48035304
283,Breel Embolo,FW,ch Switzerland,29,1997,5.6,2,10,5,50.0,1.80,0.90,0.20,0.40,1,1,Matches,0b4f388a
284,Julio Enciso,FW,py Paraguay,22,2004,4.3,1,8,1,12.5,1.87,0.23,0.13,1.00,0,0,Matches,9cfbad36
285,Endrick,FW,br Brazil,19,2006,1.3,0,3,0,0.0,2.37,0.00,0.00,,0,0,Matches,a2728fbf
286,Sherzod Esanov,MF,uz Uzbekistan,23,2003,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,bd6667ba
287,Fidel Escobar,DF,pa Panama,31,1995,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,4991ec66
288,Pervis Estupiñán,MF,ec Ecuador,28,1998,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,d38fdf53
289,Derrick Etienne,FWMF,ht Haiti,29,1996,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,59059f1e
